epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1663.35,1.36148,1.4008,1.52676,0.66506,0.68265,0.69763,0.35194,1.54747,1.37037,1.66565,0.0005941,0.0005941,0.0005941
43,1696.75,1.39136,1.41929,1.55128,0.61879,0.67341,0.68025,0.33354,1.62966,1.41174,1.67598,0.0005842,0.0005842,0.0005842
44,1735.85,1.35721,1.35902,1.51788,0.67647,0.65714,0.70089,0.35465,1.59704,1.41792,1.68383,0.0005743,0.0005743,0.0005743
45,1771.58,1.38243,1.40916,1.54588,0.65559,0.68602,0.6965,0.34157,1.64907,1.38601,1.72842,0.0005644,0.0005644,0.0005644
46,1805.48,1.35878,1.37241,1.53522,0.68211,0.67166,0.70978,0.35595,1.57964,1.40091,1.68573,0.0005545,0.0005545,0.0005545
47,1840.41,1.35757,1.36191,1.52721,0.69912,0.67907,0.70818,0.34886,1.61152,1.39342,1.70304,0.0005446,0.0005446,0.0005446
48,1879.51,1.33986,1.33416,1.50991,0.67046,0.64768,0.69352,0.34889,1.58121,1.35403,1.6675,0.0005347,0.0005347,0.0005347
49,1917.81,1.35314,1.33717,1.51256,0.6071,0.71056,0.69538,0.33943,1.61579,1.3548,1.68777,0.0005248,0.0005248,0.0005248
50,1950.17,1.35197,1.35064,1.52717,0.6378,0.69149,0.70045,0.34392,1.62615,1.37064,1.71648,0.0005149,0.0005149,0.0005149
51,1982.48,1.33051,1.31987,1.50215,0.69776,0.67956,0.71631,0.36243,1.59726,1.33383,1.69066,0.000505,0.000505,0.000505
52,2014.01,1.34635,1.35117,1.50454,0.69272,0.6918,0.7132,0.35752,1.61095,1.32435,1.68094,0.0004951,0.0004951,0.0004951
53,2045.49,1.33787,1.32778,1.50752,0.63104,0.69335,0.70652,0.34235,1.62475,1.38223,1.71379,0.0004852,0.0004852,0.0004852
54,2076.94,1.34687,1.32552,1.51182,0.64815,0.65542,0.69659,0.34751,1.60119,1.38772,1.70896,0.0004753,0.0004753,0.0004753
55,2108.4,1.30106,1.31372,1.48944,0.62424,0.68491,0.70315,0.36367,1.59102,1.33837,1.6929,0.0004654,0.0004654,0.0004654
56,2139.53,1.31913,1.32028,1.50231,0.65804,0.6754,0.70123,0.34099,1.66143,1.3674,1.71312,0.0004555,0.0004555,0.0004555
57,2170.66,1.31765,1.31622,1.49325,0.71362,0.69211,0.72647,0.36374,1.57291,1.3234,1.65042,0.0004456,0.0004456,0.0004456
58,2201.69,1.32975,1.30107,1.49797,0.68634,0.6353,0.70683,0.35363,1.63566,1.31788,1.71078,0.0004357,0.0004357,0.0004357
59,2232.59,1.32954,1.30087,1.49711,0.69221,0.67312,0.70801,0.3498,1.58322,1.34639,1.68882,0.0004258,0.0004258,0.0004258
