epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.424,1.98272,3.77771,2.07814,0.41091,0.31948,0.24452,0.09496,2.1864,3.06004,2.24893,0.000332407,0.000332407,0.000332407
2,121.745,1.95605,3.04934,2.08028,0.37453,0.41893,0.36618,0.14763,2.13257,2.82442,2.19156,0.000599832,0.000599832,0.000599832
3,152.15,1.894,2.69297,2.03702,0.34721,0.46752,0.34997,0.14751,1.99305,2.83651,2.05744,0.000801257,0.000801257,0.000801257
4,182.404,1.78977,2.3822,1.92404,0.5585,0.50166,0.45352,0.19998,1.80298,3.06231,1.90147,0.000703,0.000703,0.000703
5,212.014,1.73296,2.21323,1.87577,0.50638,0.48161,0.49607,0.23096,1.77648,2.35971,1.89081,0.000604,0.000604,0.000604
6,242.73,1.66019,2.04053,1.83153,0.60121,0.51881,0.52702,0.23423,1.72264,2.07406,1.83133,0.000505,0.000505,0.000505
7,273.089,1.62596,1.90817,1.79111,0.59962,0.57716,0.58385,0.26024,1.7713,1.82218,1.81002,0.000406,0.000406,0.000406
8,303.615,1.58309,1.82966,1.73345,0.71278,0.52547,0.59733,0.27104,1.7154,1.75695,1.77242,0.000307,0.000307,0.000307
9,333.673,1.52074,1.74312,1.70782,0.63099,0.59556,0.64599,0.29226,1.65139,1.63323,1.73829,0.000208,0.000208,0.000208
10,364.295,1.49915,1.65614,1.67324,0.67669,0.62734,0.67785,0.31943,1.5906,1.65017,1.69476,0.000109,0.000109,0.000109
